image4.png
Number of points: 38
X:1506, Y:844;
X:1571, Y:896;
X:971, Y:968;
X:1088, Y:1061;
X:1349, Y:1072;
X:945, Y:1074;
X:788, Y:1100;
X:1695, Y:1178;
X:899, Y:1179;
X:1523, Y:1212;
X:1153, Y:1217;
X:1287, Y:1229;
X:1632, Y:1236;
X:1586, Y:1250;
X:816, Y:1257;
X:1447, Y:1265;
X:1488, Y:1269;
X:1574, Y:1292;
X:1596, Y:1323;
X:1554, Y:1366;
X:1272, Y:1368;
X:1277, Y:1369;
X:1562, Y:1371;
X:1207, Y:1374;
X:1511, Y:1406;
X:1521, Y:1410;
X:988, Y:1419;
X:1602, Y:1429;
X:1572, Y:1519;
X:1260, Y:1533;
X:1080, Y:1543;
X:1467, Y:1552;
X:1498, Y:1552;
X:1592, Y:1600;
X:1505, Y:1638;
X:1491, Y:1673;
X:1458, Y:1688;
X:1457, Y:1741;
